Nome,Stato lead,Motivo esclusione,Tipologia,Dipendenti,Città,Provincia,Regione,Sito web,Perché potrebbe essere interessata oggi,Trigger concreto,Porta d’ingresso principale,Ruolo target,Fonte dell’informazione,Priorità,Motivazione priorità,Note verifica
"Cattel S.p.A.","TARGET","","Servizi / distribuzione alimentare B2B","131","Noventa di Piave","VE","Veneto","https://cattel.it","Ha già trasformato il tema in un’iniziativa pubblica interna, non solo comunicativa. Il 26/09/2024 ha ospitato in azienda un incontro dedicato alla parità di genere e alla UNI/PdR 125:2022; nell’articolo ufficiale Cattel, Marco Pagan, HR Director, dichiara il percorso intrapreso verso la certificazione.","Partecipazione/organizzazione di workshop sul tema + percorso verso certificazione già pubblicamente esplicitato","HR","Marco Pagan, HR Director","Articolo ufficiale Cattel + dato dimensionale camerale: https://cattel.it/blogs/news-1/parita-di-genere-limpegno-di-cattel-per-un-futuro-inclusivo | https://www.ufficiocamerale.it/1915/cattel-spa","Alta","Qui non devi creare il problema: il tema è già emerso, il referente HR è visibile e la dimensione aziendale resta nel perimetro richiesto.","Lead molto pulito; verificare solo timing del progetto e stato attuale del percorso PdR 125."
"Sicon S.r.l.","TARGET","","Servizi / software e consulenza IT","377","Isola Vicentina","VI","Veneto","https://www.socomec.com","È partner aziendale del progetto veneto O.L.TR.E. finanziato nell’ambito della DGR 588/2025, che lavora su parità di genere, inclusione, welfare e accompagnamento verso la certificazione. Nel materiale di progetto compare con un’azione concreta: policy di re-onboarding per ridurre il disorientamento post-congedo; il progetto dichiara anche 8 percorsi verso certificazione tra i risultati attesi.","Partecipazione a progetto regionale finanziato + attività operative su genitorialità/rientro + possibile percorso verso certificazione","HR / Direzione organizzazione","HR Manager oppure Direzione Generale","Brochure ufficiale progetto O.L.TR.E. + dato dimensionale camerale: https://conform.it/wp-content/uploads/2026/03/BROCHURE-OLTRE.pdf | https://www.ufficiocamerale.it/2740/sicon-srl","Alta","Trigger molto concreto, molto recente e coerente con una maturità media: il bisogno sembra essere di strutturazione e accompagnamento, non di sola sensibilizzazione.","Verificare se il sito operativo corretto da usare in outreach è quello locale o quello del gruppo."
"Tecnosystemi S.p.A. Società Benefit","TARGET","","Manifattura","188","Vittorio Veneto","TV","Veneto","https://www.tecnosystemi.com","Sul sito ufficiale pubblica un Piano Strategico per la Parità di Genere 2025–2028 dichiarato come conforme alla UNI/PdR 125:2022 e integrato nel sistema di gestione aziendale; il comitato guida include HR Manager, Responsabile Sistema di Gestione Parità di Genere e Responsabile Qualità. In parallelo, il report di sostenibilità segnala l’avvio del processo di certificazione della parità di genere.","Audit/certificazione in corso + governance interna già impostata + sistema di gestione già in costruzione","HR + Qualità/SGPG","Ketty Mazzer, HR Manager; Manuela Spadotto, Responsabile Sistema di Gestione Parità di Genere; Antonello Palamin, Responsabile Qualità","Sito ufficiale Tecnosystemi + dato dimensionale camerale: https://www.tecnosystemi.com/azienda/piano-strategico-parita-di-genere/ | https://www.ufficiocamerale.it/4750/tecnosystemi-spa","Media-Alta","Lead molto qualificato, ma già abbastanza avanzato; è interessante se l’offerta viene percepita come supporto serio di implementazione o gap-closing, meno se appare consulenza generica.","Verificare stato certificazione: avviata, ottenuta o in audit finale."
"Cherry Bank S.p.A.","TARGET","","Servizi finanziari / banca","583","Padova","PD","Veneto","https://www.cherrybank.it","Ha una comunicazione dedicata al percorso verso la parità di genere e al ruolo del Responsabile del Sistema di Gestione per la Parità di Genere; inoltre rientra nel perimetro dimensionale richiesto con 583 dipendenti.","Percorso strutturato verso SGPG/PdR 125 già reso pubblico","HR / Compliance / SGPG","Responsabile del Sistema di Gestione per la Parità di Genere oppure Direzione HR","Contenuti ufficiali Cherry Bank + dato dimensionale: https://www.cherrybank.it/cherry/il-percorso-verso-la-parita-di-genere/ | fonte dimensionale da verifica camerale/aziendale","Media-Alta","Il trigger c’è ed è pubblico, ma la struttura bancaria tende a essere più formalizzata e potenzialmente già supportata internamente; lead valido, ma da attaccare con taglio molto credibile e non didattico.","Confermare il nome del referente SGPG/HR e il dato dipendenti aggiornato in outreach."
"Favini S.r.l.","TARGET","","Manifattura","574","Rossano Veneto","VI","Veneto","https://www.favini.com","È molto esposta su sostenibilità e filiera: pubblica volontariamente il sustainability report, ha collegato il piano industriale a un sustainability-linked loan, monitora la supply chain su ambiente, lavoro, diritti umani ed etica, e valorizza certificazioni e rating come EcoVadis.","Richieste ESG da clienti, banche e filiera; governance ESG già avanzata","Direzione Generale / Sustainability / HR","DG o funzione Sustainability/HR da verificare","Sito ufficiale Favini + dati dimensionali: https://www.favini.com/news/gruppo-favini-banche-per-il-sostegno-del-nuovo-piano-industriale/ | https://www.ufficiocamerale.it/2211/favini-srl","Media","Il trigger ESG è molto forte, ma manca un segnale pubblico altrettanto netto di percorso PdR 125 già avviato; quindi è un lead plausibile, non ancora caldo come i primi quattro.","Verificare presenza di workshop, audit sociali o iniziative parità già attive."
"Polo Plast S.r.l. (Poloplast)","ESCLUSA","Sotto soglia (>100 dipendenti)","Manifattura","79","San Stino di Livenza","VE","Veneto","https://www.poloplast.it","Azienda interessante perché compare in contenuti ed eventi sul tema e può avere sensibilità reale alla parità di genere, ma oggi non rientra nel perimetro dimensionale richiesto.","Partecipazione a contenuti/eventi su certificazione parità di genere","HR / Direzione","Da identificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/4910/polo-plast-srl | https://www.poloplast.it","Bassa","Da monitorare solo come eccezione strategica o futura crescita; fuori perimetro attuale per numero di dipendenti.","Può restare in watchlist se il perimetro verrà ampliato sotto 100 dipendenti."
"BCC Veneta","ESCLUSA","Sopra soglia (<600 dipendenti)","Servizi finanziari / banca","711","Fara Vicentino","VI","Veneto","https://www.bccveneta.it","Ha un percorso pubblico sulla parità e può essere interessante dal punto di vista tematico, ma supera il tetto massimo di dipendenti definito per questa ricerca.","Percorso su parità di genere comunicato pubblicamente","HR / Compliance","Da verificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/9160/banca-di-verona-e-vicenza-credito-cooperativo-societa-cooperativa-in-forma-abbreviata-bvv | https://www.bccveneta.it","Bassa","Fuori perimetro attuale per dimensione; utile solo se si decide di estendere il range sopra i 600 dipendenti.","Lead da recuperare se la soglia massima viene ampliata."
"Baxi S.p.A. - Unipersonale","ESCLUSA","Sopra soglia (<600 dipendenti)","Manifattura","642","Bassano del Grappa","VI","Veneto","https://www.baxi.it","Azienda con processi e cultura industriale potenzialmente adatti, ma fuori perimetro per numero di dipendenti.","Audit e certificazioni industriali presumibilmente presenti","Qualità / Direzione / HR","Da verificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/9427/baxi-spa-unipersonale | https://www.baxi.it","Bassa","Fuori perimetro attuale per dimensione.","Da riattivare solo in caso di estensione soglia."
"Verallia Italia S.p.A.","ESCLUSA","Sopra soglia (<600 dipendenti)","Manifattura","1385","Lonigo","VI","Veneto","https://it.verallia.com/s/","Player molto strutturato e con cultura di audit, ma nettamente fuori perimetro per dimensione.","Audit e certificazioni in corso tipiche di contesto industriale strutturato","Qualità / Compliance / HR","Da verificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/8649/verallia-italia-spa | https://it.verallia.com/s/","Bassa","Fuori perimetro in modo netto; non prioritario per questa lista.","Da escludere salvo cambio radicale dei criteri."
"Pittarello Imel S.r.l.","ESCLUSA","Sotto soglia (>100 dipendenti)","Manifattura","47","Legnaro","PD","Veneto","https://www.pittarelloimel.it","Realtà potenzialmente interessante per contesto manifatturiero, ma non raggiunge la soglia minima di dipendenti.","Non emerso trigger pubblico forte nei limiti della ricerca","Direzione / Qualità","Da identificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/4273/pittarello-imel-srl | https://www.pittarelloimel.it","Bassa","Fuori perimetro per dimensione e senza trigger pubblico forte.","Esclusa."
"Dreno Pompe S.r.l.","ESCLUSA","Sotto soglia (>100 dipendenti)","Manifattura","21","Monselice","PD","Veneto","https://www.drenopompe.it","Contesto manifatturiero potenzialmente compatibile ma totalmente sotto soglia.","Non emerso trigger pubblico forte nei limiti della ricerca","Direzione / Qualità","Da identificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/1090/dreno-pompe-srl | https://www.drenopompe.it","Bassa","Fuori perimetro per dimensione.","Esclusa."
"Criogel S.r.l.","ESCLUSA","Sotto soglia (>100 dipendenti)","Manifattura / servizi tecnici","13","Padova","PD","Veneto","https://www.criogel.it","Può essere interessante per profilo tecnico ma non rientra minimamente nella soglia richiesta.","Non emerso trigger pubblico forte nei limiti della ricerca","Direzione","Da identificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/2784/criogel-srl | https://www.criogel.it","Bassa","Fuori perimetro per dimensione.","Esclusa."
"Italarredo S.r.l.","ESCLUSA","Sotto soglia (>100 dipendenti)","Manifattura / arredamento","9","Este","PD","Veneto","https://www.italarredo.com","Nome potenzialmente pertinente al settore ma fuori scala rispetto ai criteri richiesti.","Non emerso trigger pubblico forte nei limiti della ricerca","Direzione","Da identificare","Dato camerale + sito aziendale: https://www.ufficiocamerale.it/6175/italarredo-srl | https://www.italarredo.com","Bassa","Fuori perimetro per dimensione.","Esclusa."
